koumoku,4,5,6,1,2,3
q128,H28_4年_（５０）,H28_5年_（２５）,H28_6年_（３０）,H28_1年_（５０）,H28_2年_（２７）,H28_3年_（３２）
q129,H28_4年_（５１）,H28_5年_（２６）,H28_6年_（３１）,H28_1年_（５１）,H28_2年_（２８）,H28_3年_（３３）
q130,H28_4年_（５２）,H28_5年_（２７）,H28_6年_（３２）,H28_1年_（５２）,H28_2年_（２９）,H28_3年_（３４）
q131,H28_4年_（５３）,H28_5年_（２８）,H28_6年_（３３）,H28_1年_（５３）,H28_2年_（３０）,H28_3年_（３５）
q132,H28_4年_（５４）,H28_5年_（５５）,H28_6年_（６０）,H28_1年_（５４）,H28_2年_（６０）,H28_3年_（６５）
q133,H28_4年_（５５）,H28_5年_（５６）,H28_6年_（６１）,H28_1年_（５５）,H28_2年_（６１）,H28_3年_（６６）
q134,H28_4年_（５６）,H28_5年_（５７）,H28_6年_（６２）,H28_1年_（５６）,H28_2年_（６２）,H28_3年_（６７）
q135,H28_4年_（５７）,H28_5年_（５８）,H28_6年_（６３）,H28_1年_（５７）,H28_2年_（６３）,H28_3年_（６８）
q136,,,,,H28_2年_（６４）,H28_3年_（６９）
q137,,,,,H28_2年_（６５）,H28_3年_（７０）
q138,H28_4年_（５８）,H28_5年_（５９）,H28_6年_（６４）,H28_1年_（５８）,H28_2年_（６６）,H28_3年_（７１）
